"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10519","verify the 1st product name and the total price - Performance_glitch_User","","Sat Feb 08 01:02:33 BDT 2025","broken","Sat Feb 08 01:02:44 BDT 2025","","saucedemo site - Performance_glitch_User","",""
"","39532","Login in with Standard_user","","Sat Feb 08 01:01:46 BDT 2025","passed","Sat Feb 08 01:02:26 BDT 2025","","Saucedemo site - Standard_user","",""
"","3086","Verify the successful order message - Performance_glitch_User","","Sat Feb 08 01:03:10 BDT 2025","passed","Sat Feb 08 01:03:13 BDT 2025","","saucedemo site - Performance_glitch_User","",""
"","16079","finish the purchase journey","","Sat Feb 08 01:02:47 BDT 2025","passed","Sat Feb 08 01:03:03 BDT 2025","","Saucedemo site - Standard_user","",""
"","10258","Verify total price","","Sat Feb 08 01:02:37 BDT 2025","broken","Sat Feb 08 01:02:47 BDT 2025","","Saucedemo site - Standard_user","",""
"","16340","Finish the purchase journey - Performance_glitch_User","","Sat Feb 08 01:02:54 BDT 2025","passed","Sat Feb 08 01:03:10 BDT 2025","","saucedemo site - Performance_glitch_User","",""
"","16249","Login in with Performance_glitch_User","","Sat Feb 08 01:01:46 BDT 2025","passed","Sat Feb 08 01:02:03 BDT 2025","","saucedemo site - Performance_glitch_User","",""
"","6445","The first product into the cart, click the cartIcon- Performance_glitch_User","","Sat Feb 08 01:02:23 BDT 2025","passed","Sat Feb 08 01:02:30 BDT 2025","","saucedemo site - Performance_glitch_User","",""
"","10517","Verify product name in checkout page","","Sat Feb 08 01:02:26 BDT 2025","broken","Sat Feb 08 01:02:37 BDT 2025","","Saucedemo site - Standard_user","",""
"","11106","Login in with locked out user","","Sat Feb 08 01:01:46 BDT 2025","passed","Sat Feb 08 01:01:58 BDT 2025","","saucedemo site","",""
"","12634","Reset App State - Performance_glitch_User","","Sat Feb 08 01:02:03 BDT 2025","passed","Sat Feb 08 01:02:15 BDT 2025","","saucedemo site - Performance_glitch_User","",""
"","9592","Reset the App State again and log out.","","Sat Feb 08 01:03:13 BDT 2025","passed","Sat Feb 08 01:03:23 BDT 2025","","saucedemo site - Performance_glitch_User","",""
"","8184","Filter by name - Performance_glitch_User","","Sat Feb 08 01:02:15 BDT 2025","passed","Sat Feb 08 01:02:23 BDT 2025","","saucedemo site - Performance_glitch_User","",""
"","3230","Navigate up to the final checkout page - Performance_glitch_User","","Sat Feb 08 01:02:30 BDT 2025","passed","Sat Feb 08 01:02:33 BDT 2025","","saucedemo site - Performance_glitch_User","",""
"","117","Verify the successful order message - Performance_glitch_User","","Sat Feb 08 01:01:58 BDT 2025","passed","Sat Feb 08 01:01:58 BDT 2025","","saucedemo site","",""
"","10276","Verify the total price. - Performance_glitch_User","","Sat Feb 08 01:02:44 BDT 2025","broken","Sat Feb 08 01:02:54 BDT 2025","","saucedemo site - Performance_glitch_User","",""
"","9505","Reset the App State again and log out.","","Sat Feb 08 01:03:06 BDT 2025","passed","Sat Feb 08 01:03:15 BDT 2025","","Saucedemo site - Standard_user","",""
"","3083","The successful order message","","Sat Feb 08 01:03:03 BDT 2025","passed","Sat Feb 08 01:03:06 BDT 2025","","Saucedemo site - Standard_user","",""
